region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,slope_deg,elevation_m,soil_wetness_index,ndvi,temperature_c,neighbor_risk_mean,neighbor_count,label,date,hazard_score
IN-AIZ-AIZAWL__2026-04-01,Mizoram,Aizawl,23.7271,92.7176,118.0,118.0,39,1132,0.09076923076923077,0.34,22,0.69,5,1,2026-04-01,0.4835151328985975
IN-AIZ-AIZAWL__2026-04-02,Mizoram,Aizawl,23.7271,92.7176,127.0,245.0,39,1132,0.18846153846153846,0.34,22,0.69,5,1,2026-04-02,0.5072833932097149
IN-AIZ-AIZAWL__2026-04-03,Mizoram,Aizawl,23.7271,92.7176,136.0,381.0,39,1132,0.29307692307692307,0.34,22,0.69,5,1,2026-04-03,0.5462143271426737
IN-AIZ-AIZAWL__2026-04-04,Mizoram,Aizawl,23.7271,92.7176,145.0,526.0,39,1132,0.4046153846153846,0.34,22,0.69,5,1,2026-04-04,0.590703986630417
IN-AIZ-AIZAWL__2026-04-05,Mizoram,Aizawl,23.7271,92.7176,154.0,680.0,39,1132,0.5230769230769231,0.34,22,0.69,5,1,2026-04-05,0.638831299085352
IN-AIZ-AIZAWL__2026-04-06,Mizoram,Aizawl,23.7271,92.7176,163.0,843.0,39,1132,0.6484615384615384,0.34,22,0.69,5,1,2026-04-06,0.689955708929921
IN-AIZ-AIZAWL__2026-04-07,Mizoram,Aizawl,23.7271,92.7176,175.0,1018.0,39,1132,0.7830769230769231,0.34,22,0.69,5,1,2026-04-07,0.7479577943628699
IN-AIZ-AIZAWL__2026-04-08,Mizoram,Aizawl,23.7271,92.7176,184.0,1084.0,39,1132,0.8338461538461538,0.34,22,0.69,5,1,2026-04-08,0.7749509546414304
IN-AIZ-AIZAWL__2026-04-09,Mizoram,Aizawl,23.7271,92.7176,193.0,1150.0,39,1132,0.8846153846153846,0.34,22,0.69,5,1,2026-04-09,0.8019540505027324
IN-AIZ-AIZAWL__2026-04-10,Mizoram,Aizawl,23.7271,92.7176,202.0,1216.0,39,1132,0.9353846153846154,0.34,22,0.69,5,1,2026-04-10,0.8289654641462972
IN-ALA-ALAPPUZHA__2026-04-01,Kerala,Alappuzha,9.4981,76.3388,12.0,12.0,7,8,0.009230769230769232,0.63,30,0.24,2,0,2026-04-01,0.12908685094433126
IN-ALA-ALAPPUZHA__2026-04-02,Kerala,Alappuzha,9.4981,76.3388,15.0,27.0,7,8,0.02076923076923077,0.63,30,0.24,2,0,2026-04-02,0.11850487736235768
IN-ALA-ALAPPUZHA__2026-04-03,Kerala,Alappuzha,9.4981,76.3388,18.0,45.0,7,8,0.03461538461538462,0.63,30,0.24,2,0,2026-04-03,0.12026307472055504
IN-ALA-ALAPPUZHA__2026-04-04,Kerala,Alappuzha,9.4981,76.3388,21.0,66.0,7,8,0.05076923076923077,0.63,30,0.24,2,0,2026-04-04,0.12575538241286274
IN-ALA-ALAPPUZHA__2026-04-05,Kerala,Alappuzha,9.4981,76.3388,24.0,90.0,7,8,0.06923076923076923,0.63,30,0.24,2,0,2026-04-05,0.13324442670190703
IN-ALA-ALAPPUZHA__2026-04-06,Kerala,Alappuzha,9.4981,76.3388,27.0,117.0,7,8,0.09,0.63,30,0.24,2,0,2026-04-06,0.14214279500027532
IN-ALA-ALAPPUZHA__2026-04-07,Kerala,Alappuzha,9.4981,76.3388,30.0,147.0,7,8,0.11307692307692307,0.63,30,0.24,2,0,2026-04-07,0.15219417219450965
IN-ALA-ALAPPUZHA__2026-04-08,Kerala,Alappuzha,9.4981,76.3388,33.0,168.0,7,8,0.12923076923076923,0.63,30,0.24,2,0,2026-04-08,0.16065308471056505
IN-ALA-ALAPPUZHA__2026-04-09,Kerala,Alappuzha,9.4981,76.3388,36.0,189.0,7,8,0.1453846153846154,0.63,30,0.24,2,0,2026-04-09,0.16918002443750474
IN-ALA-ALAPPUZHA__2026-04-10,Kerala,Alappuzha,9.4981,76.3388,39.0,210.0,7,8,0.16153846153846155,0.63,30,0.24,2,0,2026-04-10,0.17775458321206353
IN-ALM-ALMORA__2026-04-01,Uttarakhand,Almora,29.5892,79.6467,25.0,25.0,24,1638,0.019230769230769232,0.5,16,0.4,3,0,2026-04-01,0.2719124261565206
IN-ALM-ALMORA__2026-04-02,Uttarakhand,Almora,29.5892,79.6467,30.0,55.0,24,1638,0.04230769230769231,0.5,16,0.4,3,0,2026-04-02,0.2670313072754017
IN-ALM-ALMORA__2026-04-03,Uttarakhand,Almora,29.5892,79.6467,35.0,90.0,24,1638,0.06923076923076923,0.5,16,0.4,3,0,2026-04-03,0.2753770726211671
IN-ALM-ALMORA__2026-04-04,Uttarakhand,Almora,29.5892,79.6467,40.0,130.0,24,1638,0.1,0.5,16,0.4,3,0,2026-04-04,0.28804529328938777
IN-ALM-ALMORA__2026-04-05,Uttarakhand,Almora,29.5892,79.6467,45.0,175.0,24,1638,0.1346153846153846,0.5,16,0.4,3,0,2026-04-05,0.30324709149118595
IN-ALM-ALMORA__2026-04-06,Uttarakhand,Almora,29.5892,79.6467,50.0,225.0,24,1638,0.17307692307692307,0.5,16,0.4,3,0,2026-04-06,0.32038173462582914
IN-ALM-ALMORA__2026-04-07,Uttarakhand,Almora,29.5892,79.6467,55.0,280.0,24,1638,0.2153846153846154,0.5,16,0.4,3,0,2026-04-07,0.3391891494332439
IN-ALM-ALMORA__2026-04-08,Uttarakhand,Almora,29.5892,79.6467,60.0,315.0,24,1638,0.2423076923076923,0.5,16,0.4,3,0,2026-04-08,0.3535594458035404
IN-ALM-ALMORA__2026-04-09,Uttarakhand,Almora,29.5892,79.6467,65.0,350.0,24,1638,0.2692307692307692,0.5,16,0.4,3,0,2026-04-09,0.36797736122145575
IN-ALM-ALMORA__2026-04-10,Uttarakhand,Almora,29.5892,79.6467,70.0,385.0,24,1638,0.29615384615384616,0.5,16,0.4,3,1,2026-04-10,0.3824299086740032
IN-BAG-BAGESHWAR__2026-04-01,Uttarakhand,Bageshwar,29.8374,79.7714,42.0,42.0,27,1004,0.03230769230769231,0.46,17,0.46,4,0,2026-04-01,0.302280862444642
IN-BAG-BAGESHWAR__2026-04-02,Uttarakhand,Bageshwar,29.8374,79.7714,48.0,90.0,27,1004,0.06923076923076923,0.46,17,0.46,4,0,2026-04-02,0.30271349647727597
