region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,label,hazard_score,elevation_m,slope_deg,ndvi
IN-AIZ-AIZAWL,Mizoram,Aizawl,23.7271,92.7176,0.0,0.0,0.0,18.143333333333334,0.5,4,1,0.2769124109486314,1132,39,0.34
IN-ALA-ALAPPUZHA,Kerala,Alappuzha,9.4981,76.3388,0.01,0.8200000000000001,0.027900646478394013,28.02,0.5,4,0,0.11321745339845449,8,7,0.63
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,0.0,27.63,0.9401156856073494,12.35,0.5,4,1,0.5293665547037992,1638,24,0.5
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,0.0,26.45,0.8999659748213678,4.153333333333333,0.5,4,1,0.5209725334265167,1004,27,0.46
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,0.03,21.130000000000003,0.7189520244981287,-2.056666666666667,0.5,4,1,0.548613617088269,1820,41,0.35
IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,13.3161,75.772,0.0,0.16,0.005444028581150051,21.16,0.5,4,0,0.2410744042882697,1090,32,0.44
IN-CHM-CHAMBA,Himachal Pradesh,Chamba,32.5534,76.1258,0.28,22.7,0.7723715549506635,1.6033333333333335,0.5,4,1,0.5695020542175339,996,31,0.47
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,0.01,29.39,1.0,10.513333333333334,0.5,4,1,0.5570356392950881,1615,25,0.49
IN-DAR-DARJEELING,West Bengal,Darjeeling,27.041,88.2663,0.0,0.04,0.0013610071452875127,12.663333333333334,0.5,4,0,0.1937960007721049,980,24,0.58
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,0.01,19.950000000000003,0.678802313712147,10.03,0.5,4,1,0.3969343314690291,640,18,0.56
IN-DIM-DIMAHASAO,Assam,Dima Hasao,25.2703,93.0176,0.0,0.0,0.0,15.933333333333332,0.5,4,0,0.20346756655418075,686,27,0.55
IN-DIN-DINDIGUL,Tamil Nadu,Dindigul,10.3673,77.9803,0.0,2.2499999999999996,0.07655665192242257,23.376666666666665,0.5,4,0,0.2391430224335262,1018,27,0.49
IN-EKH-EASTKHASIHILLS,Meghalaya,East Khasi Hills,25.5788,91.8933,0.0,0.0,0.0,11.696666666666667,0.5,4,0,0.23381211098612675,1496,30,0.49
IN-ERN-ERNAKULAM,Kerala,Ernakulam,9.9816,76.2999,0.01,1.55,0.05273902687989112,27.626666666666665,0.5,4,0,0.12819954810429235,12,9,0.66
IN-GAN-GANGTOK,Sikkim,Gangtok,27.3389,88.6065,0.0,0.54,0.01837359646138142,1.2,0.5,4,1,0.29801736400421874,1510,42,0.4
IN-HAR-HARIDWAR,Uttarakhand,Haridwar,29.9457,78.1642,0.0,16.23,0.5522286492004083,14.363333333333337,0.5,4,1,0.306999529254573,249,10,0.61
IN-IDU-IDUKKI,Kerala,Idukki,10.0889,77.0595,0.0,1.63,0.05546104117046614,21.046666666666667,0.5,4,1,0.2953551042041827,1240,38,0.31
IN-KAL-KALIMPONG,West Bengal,Kalimpong,27.0622,88.4753,0.0,0.22,0.00748553929908132,12.906666666666666,0.5,4,0,0.22235033270551968,1250,28,0.51
IN-KAN-KANNUR,Kerala,Kannur,11.8745,75.3704,0.02,2.67,0.09084722694794148,25.30666666666667,0.5,4,0,0.1601806705856222,10,12,0.61
IN-KAR-KARBIALONG,Assam,Karbi Anglong,25.845,93.431,0.0,0.0,0.0,18.583333333333332,0.5,4,0,0.1812227409073866,503,23,0.58
IN-KAS-KASARAGOD,Kerala,Kasaragod,12.4996,74.9869,0.05,1.3600000000000003,0.046274242939775445,27.156666666666663,0.5,4,0,0.16335975178587536,26,14,0.59
IN-KIN-KINNAUR,Himachal Pradesh,Kinnaur,31.58,78.23,0.15,25.049999999999997,0.8523307247363048,-10.85,0.5,4,1,0.6237203054279665,2960,37,0.41
IN-KOD-KODAGU,Karnataka,Kodagu,12.3375,75.8069,0.01,2.02,0.06873086083701939,23.94333333333333,0.5,4,1,0.2829614060704133,1170,35,0.39
IN-KOH-KOHIMA,Nagaland,Kohima,25.6751,94.1086,0.0,0.0,0.0,11.82,0.5,4,0,0.21371623547056617,1444,26,0.52
IN-KOL-KOLASIB,Mizoram,Kolasib,24.2239,92.6787,0.0,0.0,0.0,18.84,0.5,4,0,0.19757592800899887,636,25,0.5
IN-KOL-KOLLAM,Kerala,Kollam,8.8932,76.6141,0.0,0.23,0.007825791085403199,25.813333333333333,0.5,4,0,0.13752546713176675,71,14,0.59
IN-KOT-KOTTAYAM,Kerala,Kottayam,9.5916,76.5222,0.01,0.8200000000000001,0.027900646478394013,28.02,0.5,4,0,0.15633875073628725,72,16,0.58
IN-KOZ-KOZHIKODE,Kerala,Kozhikode,11.2588,75.7804,0.02,2.32,0.07893841442667573,27.003333333333337,0.5,4,0,0.1447766499564383,11,10,0.65
IN-KUL-KULLU,Himachal Pradesh,Kullu,31.9579,77.1095,0.33,27.94,0.9506634909833277,2.6566666666666667,0.5,4,1,0.6625208437772262,1279,34,0.45
IN-LUN-LUNGLEI,Mizoram,Lunglei,22.8671,92.765,0.0,0.0,0.0,19.623333333333335,0.5,4,0,0.2420887889013873,1222,32,0.43
