sample_id,region_id,state,district,date,latitude,longitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_14d_mm,rainfall_ratio_24h_to_7d,rainfall_acceleration,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,elevation_m,slope_deg,ndvi,vegetation_vulnerability,terrain_rainfall_interaction,soil_rainfall_interaction,hazard_score,label,label_source
IN-AIZ-AIZAWL__2026-04-01,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-01,23.7271,92.7176,118.0,118.0,118.0,118.0,1.0,118.0,0.06994665085951393,22,0.69,5,1132,39,0.34,0.04616478956727919,4602.0,8.253704801422645,0.38940099812035894,1,proxy
IN-AIZ-AIZAWL__2026-04-02,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-02,23.7271,92.7176,127.0,245.0,245.0,245.0,0.5183673469387755,9.0,0.14522821576763487,22,0.69,5,1132,39,0.34,0.095850622406639,4953.0,35.580912863070544,0.41492413194738126,1,proxy
IN-AIZ-AIZAWL__2026-04-03,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-03,23.7271,92.7176,136.0,381.0,381.0,381.0,0.3569553805774278,9.0,0.22584469472436278,22,0.69,5,1132,39,0.34,0.14905749851807942,5304.0,86.04682868998222,0.4911936548245914,1,proxy
IN-AIZ-AIZAWL__2026-04-04,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-04,23.7271,92.7176,145.0,408.0,526.0,526.0,0.27566539923954375,9.0,0.3117960877296977,22,0.69,5,1132,39,0.34,0.20578541790160046,5655.0,164.00474214582098,0.5381475279878989,1,proxy
IN-AIZ-AIZAWL__2026-04-05,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-05,23.7271,92.7176,154.0,435.0,680.0,680.0,0.22647058823529412,9.0,0.4030823947836396,22,0.69,5,1132,39,0.34,0.26603438055720213,6006.0,274.0960284528749,0.587077617466012,1,proxy
IN-AIZ-AIZAWL__2026-04-06,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-06,23.7271,92.7176,163.0,462.0,843.0,843.0,0.1933570581257414,9.0,0.4997036158861885,22,0.69,5,1132,39,0.34,0.32980438648488436,6357.0,421.2501481920569,0.6379839232589305,1,proxy
IN-AIZ-AIZAWL__2026-04-07,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-07,23.7271,92.7176,175.0,492.0,1018.0,1018.0,0.1719056974459725,12.0,0.6034380557202134,22,0.69,5,1132,39,0.34,0.39826911677534077,6825.0,614.2999407231772,0.6961121600526188,1,proxy
IN-AIZ-AIZAWL__2026-04-08,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-08,23.7271,92.7176,184.0,522.0,1084.0,1202.0,0.16974169741697417,9.0,0.7125074096028453,22,0.69,5,1132,39,0.34,0.4702548903378779,7176.0,772.3580320094843,0.736696617902134,1,proxy
IN-AIZ-AIZAWL__2026-04-09,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-09,23.7271,92.7176,193.0,552.0,1150.0,1395.0,0.16782608695652174,9.0,0.8269116775340841,22,0.69,5,1132,39,0.34,0.5457617071724955,7527.0,950.9484291641968,0.7794207861994406,1,proxy
IN-AIZ-AIZAWL__2026-04-10,IN-AIZ-AIZAWL,Mizoram,Aizawl,2026-04-10,23.7271,92.7176,202.0,579.0,1216.0,1597.0,0.16611842105263158,9.0,0.94665085951393,22,0.69,5,1132,39,0.34,0.6247895672791938,7878.0,1151.127445168939,0.8221522344847216,1,proxy
