region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,soil_wetness_index,temperature_c,neighbor_risk_mean,neighbor_count,label
IN-TVM-THIRUVANANTHAPURAM,Kerala,Thiruvananthapuram,8.5241,76.9366,52,280,0.5,29,0.28,2,0
IN-KOL-KOLLAM,Kerala,Kollam,8.8932,76.6141,54,294,0.53,30,0.3,2,0
IN-PAT-PATHANAMTHITTA,Kerala,Pathanamthitta,9.2648,76.787,97,553,0.99,27,0.36,3,1
IN-ALA-ALAPPUZHA,Kerala,Alappuzha,9.4981,76.3388,39,210,0.38,30,0.24,2,0
IN-KOT-KOTTAYAM,Kerala,Kottayam,9.5916,76.5222,58,322,0.57,28,0.33,3,0
IN-IDU-IDUKKI,Kerala,Idukki,10.0889,77.0595,220,1300,1.0,21,0.72,5,1
IN-ERN-ERNAKULAM,Kerala,Ernakulam,9.9816,76.2999,41,224,0.4,29,0.26,2,0
IN-THR-THRISSUR,Kerala,Thrissur,10.5276,76.2144,42,231,0.41,29,0.29,2,0
IN-PAL-PALAKKAD,Kerala,Palakkad,10.7867,76.6548,83,476,0.85,30,0.38,3,0
IN-MAL-MALAPPURAM,Kerala,Malappuram,11.0732,76.074,80,455,0.81,28,0.35,3,0
IN-KOZ-KOZHIKODE,Kerala,Kozhikode,11.2588,75.7804,40,217,0.39,30,0.27,2,0
IN-WAY-WAYANAD,Kerala,Wayanad,11.6854,76.132,187,1090,1.0,23,0.67,5,1
IN-KAN-KANNUR,Kerala,Kannur,11.8745,75.3704,38,203,0.36,30,0.25,2,0
IN-KAS-KASARAGOD,Kerala,Kasaragod,12.4996,74.9869,37,196,0.35,31,0.23,2,0
IN-KOD-KODAGU,Karnataka,Kodagu,12.3375,75.8069,172,1006,1.0,22,0.64,5,1
IN-CHI-CHIKKAMAGALURU,Karnataka,Chikkamagaluru,13.3161,75.772,151,880,1.0,24,0.6,4,1
IN-NIL-NILGIRIS,Tamil Nadu,Nilgiris,11.4916,76.7337,146,845,1.0,19,0.59,4,1
IN-DIN-DINDIGUL,Tamil Nadu,Dindigul,10.3673,77.9803,117,672,1.0,24,0.48,4,1
IN-RAI-RAIGAD,Maharashtra,Raigad,18.5158,73.1822,103,595,1.0,27,0.47,3,1
IN-RAT-RATNAGIRI,Maharashtra,Ratnagiri,16.9902,73.312,98,560,1.0,28,0.43,3,1
IN-SAT-SATARA,Maharashtra,Satara,17.6805,74.0183,87,504,0.9,26,0.45,3,0
IN-NGO-NORTHGOA,Goa,North Goa,15.4909,73.8278,58,322,0.57,29,0.36,3,0
IN-DAR-DARJEELING,West Bengal,Darjeeling,27.041,88.2663,76,406,0.72,25,0.36,3,0
IN-KAL-KALIMPONG,West Bengal,Kalimpong,27.0622,88.4753,108,609,1.0,24,0.49,4,1
IN-GAN-GANGTOK,Sikkim,Gangtok,27.3389,88.6065,154,880,1.0,19,0.61,4,1
IN-NAM-NAMCHI,Sikkim,Namchi,27.1642,88.3639,130,742,1.0,20,0.57,4,1
IN-MAN-MANGAN,Sikkim,Mangan,27.5167,88.5333,138,789,1.0,18,0.59,4,1
IN-SHI-SHIMLA,Himachal Pradesh,Shimla,31.1048,77.1734,167,971,1.0,16,0.58,4,1
IN-KUL-KULLU,Himachal Pradesh,Kullu,31.9579,77.1095,139,784,1.0,15,0.52,4,1
IN-CHM-CHAMBA,Himachal Pradesh,Chamba,32.5534,76.1258,103,553,0.99,17,0.42,3,0
IN-KIN-KINNAUR,Himachal Pradesh,Kinnaur,31.58,78.23,135,789,1.0,12,0.56,4,1
