region_id,date,rainfall_mm
IN-TVM-THIRUVANANTHAPURAM,2026-04-01,16
IN-TVM-THIRUVANANTHAPURAM,2026-04-02,20
IN-TVM-THIRUVANANTHAPURAM,2026-04-03,24
IN-TVM-THIRUVANANTHAPURAM,2026-04-04,28
IN-TVM-THIRUVANANTHAPURAM,2026-04-05,32
IN-TVM-THIRUVANANTHAPURAM,2026-04-06,36
IN-TVM-THIRUVANANTHAPURAM,2026-04-07,40
IN-TVM-THIRUVANANTHAPURAM,2026-04-08,44
IN-TVM-THIRUVANANTHAPURAM,2026-04-09,48
IN-TVM-THIRUVANANTHAPURAM,2026-04-10,52
IN-KOL-KOLLAM,2026-04-01,18
IN-KOL-KOLLAM,2026-04-02,22
IN-KOL-KOLLAM,2026-04-03,26
IN-KOL-KOLLAM,2026-04-04,30
IN-KOL-KOLLAM,2026-04-05,34
IN-KOL-KOLLAM,2026-04-06,38
IN-KOL-KOLLAM,2026-04-07,42
IN-KOL-KOLLAM,2026-04-08,46
IN-KOL-KOLLAM,2026-04-09,50
IN-KOL-KOLLAM,2026-04-10,54
IN-PAT-PATHANAMTHITTA,2026-04-01,39
IN-PAT-PATHANAMTHITTA,2026-04-02,45
IN-PAT-PATHANAMTHITTA,2026-04-03,55
IN-PAT-PATHANAMTHITTA,2026-04-04,61
IN-PAT-PATHANAMTHITTA,2026-04-05,67
IN-PAT-PATHANAMTHITTA,2026-04-06,73
IN-PAT-PATHANAMTHITTA,2026-04-07,79
IN-PAT-PATHANAMTHITTA,2026-04-08,85
IN-PAT-PATHANAMTHITTA,2026-04-09,91
IN-PAT-PATHANAMTHITTA,2026-04-10,97
IN-ALA-ALAPPUZHA,2026-04-01,12
IN-ALA-ALAPPUZHA,2026-04-02,15
IN-ALA-ALAPPUZHA,2026-04-03,18
IN-ALA-ALAPPUZHA,2026-04-04,21
IN-ALA-ALAPPUZHA,2026-04-05,24
IN-ALA-ALAPPUZHA,2026-04-06,27
IN-ALA-ALAPPUZHA,2026-04-07,30
IN-ALA-ALAPPUZHA,2026-04-08,33
IN-ALA-ALAPPUZHA,2026-04-09,36
IN-ALA-ALAPPUZHA,2026-04-10,39
IN-KOT-KOTTAYAM,2026-04-01,22
IN-KOT-KOTTAYAM,2026-04-02,26
IN-KOT-KOTTAYAM,2026-04-03,30
IN-KOT-KOTTAYAM,2026-04-04,34
IN-KOT-KOTTAYAM,2026-04-05,38
IN-KOT-KOTTAYAM,2026-04-06,42
IN-KOT-KOTTAYAM,2026-04-07,46
IN-KOT-KOTTAYAM,2026-04-08,50
IN-KOT-KOTTAYAM,2026-04-09,54
IN-KOT-KOTTAYAM,2026-04-10,58
IN-IDU-IDUKKI,2026-04-01,118
IN-IDU-IDUKKI,2026-04-02,129
IN-IDU-IDUKKI,2026-04-03,140
IN-IDU-IDUKKI,2026-04-04,151
IN-IDU-IDUKKI,2026-04-05,162
IN-IDU-IDUKKI,2026-04-06,173
IN-IDU-IDUKKI,2026-04-07,187
IN-IDU-IDUKKI,2026-04-08,198
IN-IDU-IDUKKI,2026-04-09,209
IN-IDU-IDUKKI,2026-04-10,220
IN-ERN-ERNAKULAM,2026-04-01,14
IN-ERN-ERNAKULAM,2026-04-02,17
IN-ERN-ERNAKULAM,2026-04-03,20
IN-ERN-ERNAKULAM,2026-04-04,23
IN-ERN-ERNAKULAM,2026-04-05,26
IN-ERN-ERNAKULAM,2026-04-06,29
IN-ERN-ERNAKULAM,2026-04-07,32
IN-ERN-ERNAKULAM,2026-04-08,35
IN-ERN-ERNAKULAM,2026-04-09,38
IN-ERN-ERNAKULAM,2026-04-10,41
IN-THR-THRISSUR,2026-04-01,15
IN-THR-THRISSUR,2026-04-02,18
IN-THR-THRISSUR,2026-04-03,21
IN-THR-THRISSUR,2026-04-04,24
IN-THR-THRISSUR,2026-04-05,27
IN-THR-THRISSUR,2026-04-06,30
IN-THR-THRISSUR,2026-04-07,33
IN-THR-THRISSUR,2026-04-08,36
IN-THR-THRISSUR,2026-04-09,39
IN-THR-THRISSUR,2026-04-10,42
IN-PAL-PALAKKAD,2026-04-01,34
IN-PAL-PALAKKAD,2026-04-02,39
IN-PAL-PALAKKAD,2026-04-03,48
IN-PAL-PALAKKAD,2026-04-04,53
IN-PAL-PALAKKAD,2026-04-05,58
IN-PAL-PALAKKAD,2026-04-06,63
IN-PAL-PALAKKAD,2026-04-07,68
IN-PAL-PALAKKAD,2026-04-08,73
IN-PAL-PALAKKAD,2026-04-09,78
IN-PAL-PALAKKAD,2026-04-10,83
IN-MAL-MALAPPURAM,2026-04-01,31
IN-MAL-MALAPPURAM,2026-04-02,36
IN-MAL-MALAPPURAM,2026-04-03,45
IN-MAL-MALAPPURAM,2026-04-04,50
IN-MAL-MALAPPURAM,2026-04-05,55
IN-MAL-MALAPPURAM,2026-04-06,60
IN-MAL-MALAPPURAM,2026-04-07,65
IN-MAL-MALAPPURAM,2026-04-08,70
IN-MAL-MALAPPURAM,2026-04-09,75
IN-MAL-MALAPPURAM,2026-04-10,80
IN-KOZ-KOZHIKODE,2026-04-01,13
IN-KOZ-KOZHIKODE,2026-04-02,16
IN-KOZ-KOZHIKODE,2026-04-03,19
IN-KOZ-KOZHIKODE,2026-04-04,22
IN-KOZ-KOZHIKODE,2026-04-05,25
IN-KOZ-KOZHIKODE,2026-04-06,28
IN-KOZ-KOZHIKODE,2026-04-07,31
IN-KOZ-KOZHIKODE,2026-04-08,34
IN-KOZ-KOZHIKODE,2026-04-09,37
IN-KOZ-KOZHIKODE,2026-04-10,40
IN-WAY-WAYANAD,2026-04-01,94
IN-WAY-WAYANAD,2026-04-02,104
IN-WAY-WAYANAD,2026-04-03,114
IN-WAY-WAYANAD,2026-04-04,124
IN-WAY-WAYANAD,2026-04-05,134
IN-WAY-WAYANAD,2026-04-06,144
IN-WAY-WAYANAD,2026-04-07,157
IN-WAY-WAYANAD,2026-04-08,167
IN-WAY-WAYANAD,2026-04-09,177
IN-WAY-WAYANAD,2026-04-10,187
IN-KAN-KANNUR,2026-04-01,12
IN-KAN-KANNUR,2026-04-02,14
IN-KAN-KANNUR,2026-04-03,17
IN-KAN-KANNUR,2026-04-04,20
IN-KAN-KANNUR,2026-04-05,23
IN-KAN-KANNUR,2026-04-06,26
IN-KAN-KANNUR,2026-04-07,29
IN-KAN-KANNUR,2026-04-08,32
IN-KAN-KANNUR,2026-04-09,35
IN-KAN-KANNUR,2026-04-10,38
IN-KAS-KASARAGOD,2026-04-01,12
IN-KAS-KASARAGOD,2026-04-02,13
IN-KAS-KASARAGOD,2026-04-03,16
IN-KAS-KASARAGOD,2026-04-04,19
IN-KAS-KASARAGOD,2026-04-05,22
IN-KAS-KASARAGOD,2026-04-06,25
IN-KAS-KASARAGOD,2026-04-07,28
IN-KAS-KASARAGOD,2026-04-08,31
IN-KAS-KASARAGOD,2026-04-09,34
IN-KAS-KASARAGOD,2026-04-10,37
IN-KOD-KODAGU,2026-04-01,88
IN-KOD-KODAGU,2026-04-02,97
IN-KOD-KODAGU,2026-04-03,106
IN-KOD-KODAGU,2026-04-04,115
IN-KOD-KODAGU,2026-04-05,124
IN-KOD-KODAGU,2026-04-06,133
IN-KOD-KODAGU,2026-04-07,145
IN-KOD-KODAGU,2026-04-08,154
IN-KOD-KODAGU,2026-04-09,163
IN-KOD-KODAGU,2026-04-10,172
IN-CHI-CHIKKAMAGALURU,2026-04-01,76
IN-CHI-CHIKKAMAGALURU,2026-04-02,84
IN-CHI-CHIKKAMAGALURU,2026-04-03,92
IN-CHI-CHIKKAMAGALURU,2026-04-04,100
IN-CHI-CHIKKAMAGALURU,2026-04-05,108
IN-CHI-CHIKKAMAGALURU,2026-04-06,116
IN-CHI-CHIKKAMAGALURU,2026-04-07,127
IN-CHI-CHIKKAMAGALURU,2026-04-08,135
IN-CHI-CHIKKAMAGALURU,2026-04-09,143
IN-CHI-CHIKKAMAGALURU,2026-04-10,151
IN-NIL-NILGIRIS,2026-04-01,71
IN-NIL-NILGIRIS,2026-04-02,79
IN-NIL-NILGIRIS,2026-04-03,87
IN-NIL-NILGIRIS,2026-04-04,95
IN-NIL-NILGIRIS,2026-04-05,103
IN-NIL-NILGIRIS,2026-04-06,111
IN-NIL-NILGIRIS,2026-04-07,122
IN-NIL-NILGIRIS,2026-04-08,130
IN-NIL-NILGIRIS,2026-04-09,138
IN-NIL-NILGIRIS,2026-04-10,146
IN-DIN-DINDIGUL,2026-04-01,50
IN-DIN-DINDIGUL,2026-04-02,57
IN-DIN-DINDIGUL,2026-04-03,68
IN-DIN-DINDIGUL,2026-04-04,75
IN-DIN-DINDIGUL,2026-04-05,82
IN-DIN-DINDIGUL,2026-04-06,89
IN-DIN-DINDIGUL,2026-04-07,96
IN-DIN-DINDIGUL,2026-04-08,103
IN-DIN-DINDIGUL,2026-04-09,110
