region_id,state,district,latitude,longitude,rainfall_24h_mm,rainfall_7d_mm,temperature_c,latest_valid_date,valid_observation_count,source_mode
IN-ALA-ALAPPUZHA,Kerala,Alappuzha,9.4981,76.3388,0.04,17.14,29.386666666666667,2026-04-07,38,downloaded
IN-ALM-ALMORA,Uttarakhand,Almora,29.5892,79.6467,0.59,3.96,21.166666666666668,2026-04-07,38,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,1.14,20.259999999999998,6.59,2026-04-07,38,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,1.82,30.41,1.0633333333333332,2026-04-07,38,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,0.38,5.67,17.64,2026-04-07,38,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,2.36,8.030000000000001,16.586666666666662,2026-04-07,38,downloaded
IN-ERN-ERNAKULAM,Kerala,Ernakulam,9.9816,76.2999,0.01,19.850000000000005,28.736666666666665,2026-04-07,38,downloaded
IN-HAR-HARIDWAR,Uttarakhand,Haridwar,29.9457,78.1642,3.56,6.67,23.743333333333336,2026-04-07,38,downloaded
IN-IDU-IDUKKI,Kerala,Idukki,10.0889,77.0595,0.33,29.56,25.84,2026-04-07,38,downloaded
IN-KAN-KANNUR,Kerala,Kannur,11.8745,75.3704,0.0,17.05,27.03333333333333,2026-04-07,38,downloaded
IN-KAS-KASARAGOD,Kerala,Kasaragod,12.4996,74.9869,0.0,12.670000000000002,28.27333333333333,2026-04-07,38,downloaded
IN-KOL-KOLLAM,Kerala,Kollam,8.8932,76.6141,0.08,25.409999999999997,27.603333333333335,2026-04-07,38,downloaded
IN-KOT-KOTTAYAM,Kerala,Kottayam,9.5916,76.5222,0.04,17.14,29.386666666666667,2026-04-07,38,downloaded
IN-KOZ-KOZHIKODE,Kerala,Kozhikode,11.2588,75.7804,0.0,14.749999999999998,28.186666666666667,2026-04-07,38,downloaded
IN-MAL-MALAPPURAM,Kerala,Malappuram,11.0732,76.074,0.02,24.900000000000002,27.810000000000002,2026-04-07,38,downloaded
IN-NAI-NAINITAL,Uttarakhand,Nainital,29.3919,79.4542,0.59,3.96,21.166666666666668,2026-04-07,38,downloaded
IN-PAL-PALAKKAD,Kerala,Palakkad,10.7867,76.6548,0.33,23.81,27.333333333333332,2026-04-07,38,downloaded
IN-PAT-PATHANAMTHITTA,Kerala,Pathanamthitta,9.2648,76.787,0.14,32.24,26.360000000000003,2026-04-07,38,downloaded
IN-PAU-PAURIGARHWAL,Uttarakhand,Pauri Garhwal,30.146,78.7812,1.03,6.02,19.346666666666668,2026-04-07,38,downloaded
IN-PIT-PITHORAGARH,Uttarakhand,Pithoragarh,29.5829,80.2182,0.38,5.67,17.64,2026-04-07,38,downloaded
IN-RUD-RUDRAPRAYAG,Uttarakhand,Rudraprayag,30.2844,78.9811,2.08,17.98,8.336666666666666,2026-04-07,38,downloaded
IN-TEH-TEHRIGARHWAL,Uttarakhand,Tehri Garhwal,30.3783,78.48,2.08,17.98,8.336666666666666,2026-04-07,38,downloaded
IN-THR-THRISSUR,Kerala,Thrissur,10.5276,76.2144,0.02,22.169999999999998,28.73333333333333,2026-04-07,38,downloaded
IN-TVM-THIRUVANANTHAPURAM,Kerala,Thiruvananthapuram,8.5241,76.9366,0.4,19.22,28.896666666666665,2026-04-07,38,downloaded
IN-UDH-UDHAMSINGHNAGAR,Uttarakhand,Udham Singh Nagar,28.9617,79.515,0.79,3.04,26.41333333333333,2026-04-07,38,downloaded
IN-UTK-UTTARKASHI,Uttarakhand,Uttarkashi,30.729,78.443,2.08,17.98,8.336666666666666,2026-04-07,38,downloaded
IN-WAY-WAYANAD,Kerala,Wayanad,11.6854,76.132,0.01,23.330000000000002,26.50666666666667,2026-04-07,38,downloaded
